0,5*5/5*4+8-8+3*9,47.0
1,8-8+2+2+5+7+9+3,28
2,4+8/8+2-4*3*1-6,-11.0
3,1+5+7+8+2-8-7*7,-34
4,3/9/5+5+1/1-4-6,-3.93
5,8+2/5-8+7/4+6+1,9.15
6,8+8*5+7*5-7/2+8,87.5
7,6/5*5+5+6+6-4-1,18.0
8,8+4/2-4*8-7-9-3,-41.0
9,5-6+6-1+3+4+8-2,17
10,2+3+9+7-1+7+5*3,42
11,5/6-1+2+2+3+8+7,21.83
12,4-5*8/8+2+7+3+3,14.0
13,5+5+4+4-8-8+7+3,12
14,5+7+5+5+1+3-9+6,23
15,3+9+2-3+3/1*9*4,119.0
16,5+9+5+1+2-1+6-3,24
17,3/6/3+8+1+5-1+4,17.17
18,3*7*9+5+6+2-3*5,187
19,9+9+1-3+2/4+4+8,28.5
20,2-1+8+6+8+6+8-3,34
21,8+4-3-6+4+2+1*3,12
22,8+3*4-4-7+1+3+9,22
23,9+3+6+1+4-3-6-6,8
24,4+2-6/4*6+6*7+7,46.0
25,2-1-2+1-7-8+8-5,-12
26,2-2-1/6+3-7-6*4,-28.17
27,1+5*4+1-6+3+8+9,36
28,5+2-6+8/2+5/4/9,5.14
29,3-3+3*5+2+3/3+4,22.0
30,6+1+8+5/8-3*3*8,-56.38
31,4+5/7-2/1-2*2+5,3.71
32,7*1-5-1+8-6+7/4,4.75
33,3-1+6+5+6*3-4-6,21
34,6/2+8-8+4+5+4+3,19.0
35,4-3-6+9+5-4+1*3,8
36,5-5+2/8/2*7-7-1,-7.12
37,9-6/7-9-2*8*8-5,-133.86
38,1/9/1-2+9-3+6-6,4.11
39,9-7+8-2+7+4+6+8,33
40,1*7-5*7+1+5+5+3,-14
41,1+1+1+4+7-4*3/6,12.0
42,7+7*2+9+3+3/4+7,40.75
43,7/8+5-2+8+1*3+6,20.88
44,9+7+1/8+5+8*6-3,66.12
45,7*5+3+5+4-3-7-8,29
46,5/1/6*6+3-2+3+3,12.0
47,9+9+9*1+3*6/7/1,29.57
48,9-8+3-4+6+4-6+8,12
49,1/5-3+1+3+1/6-7,-5.63
50,3-1+6+3*9+3/2+2,38.5
51,9/8/1+4+6+9+6/9,20.79
52,3+8-2/6-8/3-1+1,8.0
53,7/9/3*1+7+4+4+4,19.26
54,9*7/2+7-6*3+8+2,30.5
55,5-8-5-4+4-9-9*1,-26
56,9+6-5+2-6+6+4-8,8
57,8/2-8+1+7+6+7*2,24.0
58,1+8*8/6+9+1*7+9,36.67
59,8+2*2/6+6/4+3+6,19.17
60,9-6+9+7/8-8-1-7,-3.12
61,1+9+8-9+3+5+4/1,21.0
62,6/2+8/7+2-6+7-4,3.14
63,8*3+2+5-4+2+3/2,30.5
64,4*8-3+4+6+7+2-8,40
65,8-5-4*8+7*7/9-1,-24.56
66,7*7+4*9-9/6-7+6,82.5
67,9+4-5-2/1-4+9+3,14.0
68,5+7-9-3*7+7+6*9,43
69,4-4/9-4-4-5-6-2,-17.44
70,9-5-4-4+5*9+5+6,52
71,2+5/5+1+4-9+1-4,-4.0
72,8+9+3-6+5+5*1*4,39
73,6+9-3+3+2-3+9*4,50
74,4*3+6+2+5-5-1+3,22
75,2+7-7+8+7+6-2-3,18
76,2+7-1+4-7+8/6+2,8.33
77,7+5*3*3-1+2+3*7,74
78,9*1+7-5*8+7+9+7,-1
79,2+4+8-4-4*2-3+1,0
80,4+7-2-7*3+4*2/7,-10.86
81,8-7+1+6-3+2+9*3,34
82,4-2*3*1-7+1/8-3,-11.88
83,6+5-7+4/8*5+7+6,19.5
84,8-6+2-9*6-1+3*2,-45
85,8+5+4+9*2+4-1+1,39
86,6-5-6+7+9+5+1*7,23
87,7-6-6-3+3+6*9-1,48
88,9*1*6+8+2+9+9-1,81
89,2+3*4+3+8/5/6+4,21.27
90,2+5+6+9*9+9+7+4,114
91,8/4+6*4+7+8+4+9,54.0
92,7/2+9-8+1-7+2+3,3.5
93,5/5/7-3-8/7+6/9,-3.33
94,5-9/1-5*8+1+8-7,-42.0
95,5/7+9+6+1-1*6-7,3.71
96,5-9+9+3+1*6*4-6,26
97,5+7-3+1+4+6+1+7,28
98,9-4-5+9+3-9+1*6,9
99,2+5-5+7+7+4+1+9,30
